table_path	data_row	numeric_cell	displayed_value	approved_table_sha256	evidence_builder
thesis/Tables/final/rq1_battery.tex	1	1	0.805	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	1	2	[0.790, 0.820]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	2	1	0.483	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	2	2	[0.464, 0.502]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	3	1	0.438	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	3	2	[0.419, 0.458]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	4	1	0.646	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	4	2	[0.627, 0.665]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	5	1	0.623	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	5	2	[0.605, 0.642]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	6	1	0.800	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	6	2	[0.784, 0.815]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	7	1	0.808	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	7	2	[0.793, 0.823]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	8	1	0.490	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	8	2	[0.470, 0.509]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	9	1	0.435	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	9	2	[0.415, 0.453]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	10	1	0.623	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	10	2	[0.604, 0.642]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	11	1	0.632	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	11	2	[0.613, 0.650]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	12	1	0.802	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	12	2	[0.787, 0.818]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	13	1	0.814	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
thesis/Tables/final/rq1_battery.tex	13	2	[0.799, 0.829]	4f04d9eba354f971fcb7828162d9ef85cc5e249214845388b0895e7b9cc20c18	scripts/build_public_tables.py
