arm	condition	valid_pair_n	source_frame_n	mean_raw_drift	median_raw_drift	sd_raw_drift	q25_raw_drift	q75_raw_drift	ci_lower_95	ci_upper_95	bootstrap_seed	bootstrap_replicates	ascending_drift_rank
plain	grey	2653	2400	0.08352776237402239	0.08490723371505737	0.03696086779643074	0.05994933843612671	0.10984736680984497	0.08213342185785474	0.08497951554971782	42	10000	4
plain	mismatch	2653	2400	0.08823317217458386	0.08940303325653076	0.03510213635001151	0.06588351726531982	0.11288285255432129	0.08691322176737425	0.08955197627291277	42	10000	5
plain	mask	2653	2400	0.07617629407892755	0.0788726806640625	0.039135888591713505	0.050489723682403564	0.10313481092453003	0.07465944887749053	0.07768888458660143	42	10000	2
plain	noise	2653	2400	0.07688506537907266	0.07884299755096436	0.03877109748161029	0.05178326368331909	0.10381150245666504	0.07538216430073814	0.0783892170769574	42	10000	3
plain	mirror	2652	2399	0.05749535403280416	0.05837404727935791	0.042613813535195125	0.018636628985404968	0.08841812610626221	0.055856406558401024	0.05915391335927913	42	10000	1
point	grey	2653	2400	0.08167412909659807	0.08256155252456665	0.03719596921802785	0.05848795175552368	0.1082143783569336	0.08024389837281827	0.0831031251359656	42	10000	4
point	mismatch	2653	2400	0.08856879062936569	0.0900120735168457	0.03521714757400356	0.0661170482635498	0.11349427700042725	0.08725091328794564	0.08990590493803945	42	10000	5
point	mask	2653	2400	0.07576654436360923	0.07756912708282471	0.03857460602498922	0.049711644649505615	0.10298711061477661	0.07427705810408938	0.07726842463962591	42	10000	3
point	noise	2653	2400	0.07454584303595999	0.07601970434188843	0.03888803441844689	0.04890847206115723	0.10189282894134521	0.07305182046717869	0.07605115504341742	42	10000	2
point	mirror	2653	2400	0.060441277362336045	0.061858415603637695	0.042138958889593826	0.025220513343811035	0.09071952104568481	0.05883096671738659	0.06204293663680678	42	10000	1
plain_desc	grey	2652	2399	0.07454283294994188	0.0762786865234375	0.03747277013007479	0.0495678186416626	0.10103346407413483	0.07310009508270397	0.07602010276963186	42	10000	4
plain_desc	mismatch	2652	2399	0.07879433707863677	0.0804583728313446	0.03538844831420554	0.05677229166030884	0.10362637042999268	0.07744311800617244	0.08014632857296665	42	10000	5
plain_desc	mask	2652	2399	0.06688640744258197	0.06838542222976685	0.039049328265796664	0.04047106206417084	0.09467123448848724	0.06540804365771015	0.06836571928404944	42	10000	2
plain_desc	noise	2651	2398	0.0680865881039214	0.06910747289657593	0.03858188287293227	0.04255300760269165	0.09512606263160706	0.06663891371918372	0.069541354293366	42	10000	3
plain_desc	mirror	2651	2398	0.04958730409928692	0.048920392990112305	0.04121241510059398	0.00325697660446167	0.08010643720626831	0.047986222797197955	0.05118983120677522	42	10000	1
point_desc	grey	2653	2400	0.07704757992564351	0.0786389708518982	0.03837830372465913	0.052829742431640625	0.10345298051834106	0.07560335109318013	0.07851448890537793	42	10000	4
point_desc	mismatch	2653	2400	0.08904628359592955	0.08833980560302734	0.04059100247672102	0.06320112943649292	0.11606895923614502	0.08752550628830741	0.09056437285645201	42	10000	5
point_desc	mask	2652	2399	0.07156762878549584	0.07416841387748718	0.040834736966697704	0.04379400610923767	0.09933355450630188	0.06999283403486732	0.07311728157044263	42	10000	3
point_desc	noise	2652	2399	0.07054999931455558	0.07299020886421204	0.04126801701948396	0.04147154092788696	0.09939993917942047	0.06899935442396946	0.0721326490967928	42	10000	2
point_desc	mirror	2652	2399	0.05903591572968669	0.06018400192260742	0.043350977165379084	0.02107800543308258	0.08836482465267181	0.057405049921801544	0.06066065537616101	42	10000	1
